"","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10","Topic11","Topic12"
"2022-04-01",0.0201475759497319,0.0183605234334467,0.0879402778578428,0.0442439614919006,0.152475932437886,0.0196575776791376,0.079495013547011,0.0307257739090333,0.0379316308295383,0.368161641782441,0.0912549720412752,0.0496051190407563
"2022-05-01",0.0261820521067867,0.0393374075265359,0.0892569958185912,0.036571244773239,0.110517851399164,0.0770344162110003,0.111675779993567,0.0755548407848183,0.0414281119330975,0.172177549051142,0.148311354133162,0.0719523962688968
"2022-06-01",0.022561517936555,0.0727542247257634,0.0668840794544916,0.0290839015713015,0.104980729321079,0.129024607174622,0.12315446190335,0.0979839905128965,0.0284316632078269,0.11701749184702,0.0701452712718648,0.137978061073229
"2022-07-01",0.0241363817891374,0.0391623402555911,0.0654952076677316,0.036217052715655,0.195337460063898,0.109649560702875,0.0828174920127795,0.0835912539936102,0.042232428115016,0.148712060702875,0.0791982827476038,0.0934504792332268
"2022-08-01",0.0194922361432311,0.0507509720704465,0.091285674350047,0.0504968360059976,0.0932679356527485,0.150601031792422,0.0796462425982871,0.14295153625251,0.0597473887519378,0.0928359043431853,0.0802815827594094,0.0886426592797784
"2022-09-01",0.0352376921991818,0.0304415291296375,0.140358301594019,0.052983495556496,0.0932430526167301,0.123571730850614,0.0992805755395683,0.0623219071801382,0.0473691634927352,0.141035406968543,0.104584567640006,0.0695725772323318
"2022-10-01",0.0195704779189353,0.0279794313369631,0.0907441016333938,0.0560496067755596,0.149183303085299,0.0301270417422867,0.0828191167574108,0.0132486388384755,0.0693889897156685,0.265063520871143,0.134875983061101,0.0609497882637629
"2022-11-01",0.0378987376136826,0.0533731505361748,0.0668114564951812,0.0643952762318447,0.14543233337858,0.0411565087552599,0.0977874304330121,0.0692547848513642,0.0615175783901181,0.169078322247862,0.147848513641917,0.0454459074250034
"2022-12-01",0.0231276783892252,0.0369589370337619,0.107498356120899,0.0583180282520463,0.108269278733873,0.129673718341156,0.06686619957826,0.0598371992834955,0.0520372763757568,0.149150851416003,0.134662041130989,0.0736004353445344
"2023-01-01",0.0182693302970707,0.0137408135803747,0.059543525514957,0.0669444156919574,0.171152054652727,0.0871545388676121,0.101464651692371,0.112100196667012,0.0705154745885519,0.136812959320981,0.109460718352137,0.052841320774247
"2023-02-01",0.301369863013699,0,0.0251141552511416,0.0136986301369863,0,0,0,0.00228310502283105,0.426940639269406,0,0.194063926940639,0.0365296803652968
